"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"325","It's #flu season ... how clean are your hands? Thanks to @MeriwetherLES kids &amp; teachers who welcomed @UVASON for a… https://t.co/SxXp2sYl3h",FALSE,13,NA,2019-03-08 18:30:25,TRUE,NA,"1104086988368547841",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UVASON",4,FALSE,FALSE,NA,NA
"326","New pill shows early promise for blocking many strains of flu
https://t.co/llDsZPicu3",FALSE,0,NA,2019-03-08 18:30:23,FALSE,NA,"1104086978298085377",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","innovatellc",0,FALSE,FALSE,NA,NA
"327","Day 67 of my 365 solo play challenge. I am finally feeling better after three straight days of being knocked on my… https://t.co/nHoxMPBTax",FALSE,0,NA,2019-03-08 18:30:22,TRUE,NA,"1104086973294075904",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","realtriviageek",0,FALSE,FALSE,NA,NA
"328","@marabutler67 I know, Sweden is preparing for an Ebola outbreak, who ever heard of Ebola in Sweden before? And ther… https://t.co/1sYwf6Qs8c",FALSE,1,"marabutler67",2019-03-08 18:30:15,TRUE,"1104061361640931328","1104086945221799937","714073533270401024","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Waybeyondempty2",1,FALSE,FALSE,NA,NA
"329","Flu season may not have peaked, and there's another wave of severe infections underway, CDC says - CNN https://t.co/3t25V68zdv",FALSE,0,NA,2019-03-08 18:30:05,FALSE,NA,"1104086904746708992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VictorDiaz302",0,FALSE,FALSE,NA,NA
"330","Another Wave of Severe Flu Infections Strikes: CDC https://t.co/RAuevhyi5S https://t.co/RtSLxIk62U",FALSE,0,NA,2019-03-08 18:29:30,FALSE,NA,"1104086758424236032",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","buzzzbry",0,FALSE,FALSE,NA,NA
"331","@bmbritton32 thank u! i’m pretty sure i have the flu so i had to go home",FALSE,0,"bmbritton32",2019-03-08 18:28:32,FALSE,"1104052239071629312","1104086514223538176","2987072534","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_thttallgirl_",0,FALSE,FALSE,NA,NA
"332","@loconti38 girl I feel <U+0001F62D> I've been down with the stomach flu for the last 3 days. Hope you feel better soon",FALSE,0,"loconti38",2019-03-08 18:27:32,FALSE,"1104026796826259456","1104086260258349060","816494708","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mirsey_xoxo",0,FALSE,FALSE,NA,NA
"333","The Flu season is far from over  https://t.co/8PVdloC33W",FALSE,0,NA,2019-03-08 18:27:20,FALSE,NA,"1104086213776961536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Msmere7Parker",0,FALSE,FALSE,NA,NA
"334","On a more positive note, I feel great today. Not exhausted from the flu. The sun is out. Spent some time outside. https://t.co/yRLZgmF9s2",FALSE,1,NA,2019-03-08 18:27:18,FALSE,NA,"1104086204121788416",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","beam_tyrant",0,FALSE,FALSE,NA,NA
